,built_area,modul_price,weeks_duration,DETACHED,COLLECTIVE,COMMERCIAL,OTHERS,DELAYED
0,180.41050836127062,586.8692144140709,44,1,0,0,0,1
1,122.40535341857742,759.672381005193,44,1,0,0,0,1
2,52.059159361896654,577.3298425451242,13,1,0,0,0,0
3,157.1649397342569,445.9065014017066,45,1,0,0,0,1
4,214.58827239030217,542.4011457381228,15,1,0,0,0,0
5,95.89982860307865,1001.6722012394439,28,1,0,0,0,1
6,101.56023399119535,510.85854459994454,46,1,0,0,0,1
7,136.19818376181632,950.6444067050056,35,1,0,0,0,1
8,335.3202700337588,676.2473667628424,49,1,0,0,0,1
9,356.90062768716103,736.1716466493157,36,1,0,0,0,1
10,103.68368387551496,790.1642192703584,31,1,0,0,0,0
11,292.60171843828573,482.3601201085686,41,1,0,0,0,0
12,294.21027478091753,864.5599640124929,26,1,0,0,0,1
13,89.57336894193288,984.6804962921739,36,1,0,0,0,1
14,111.93200641268946,609.7429092181048,30,1,0,0,0,1
15,467.5111684462224,614.0619154105088,28,1,0,0,0,0
16,53.947097634744864,692.7098365507073,27,1,0,0,0,1
17,479.2738199559349,830.3175480891348,36,1,0,0,0,0
18,239.3833214632327,1026.0176751638953,38,1,0,0,0,1
19,250.8116782697904,398.4408943980954,50,1,0,0,0,1
20,344.6168683543151,387.2540117298606,33,1,0,0,0,0
21,153.15675632599482,286.1207434460671,31,1,0,0,0,1
22,92.1290781511657,523.9393771724313,36,1,0,0,0,0
23,64.733468065012,832.5171043123026,38,1,0,0,0,1
24,187.85753856541788,950.4941301758092,28,1,0,0,0,1
25,371.349473674974,643.4970225572804,31,1,0,0,0,0
26,408.37043271741106,867.259350784793,31,1,0,0,0,0
27,360.7432662692042,551.8617222282039,41,1,0,0,0,0
28,109.7264315830335,258.38953339232756,35,1,0,0,0,1
29,405.3317928593581,637.5968744573579,25,1,0,0,0,0
30,86.45518689819252,829.7207550585454,46,1,0,0,0,0
31,181.65969057460086,771.3895824528079,21,1,0,0,0,0
32,175.72056564756065,434.21970028229885,31,1,0,0,0,1
33,89.54026854457285,833.6844632972266,43,1,0,0,0,0
34,188.11977004574132,748.1479600544948,25,1,0,0,0,1
35,91.29270517787224,922.9051760371442,22,1,0,0,0,1
36,150.39964576409534,706.9834616353427,38,1,0,0,0,0
37,433.8402567654465,967.2119146221214,54,1,0,0,0,1
38,257.6050834633188,524.2429861483033,16,1,0,0,0,1
39,223.48141230789503,650.5788960052039,39,1,0,0,0,0
40,283.7935926118322,651.6165698202262,22,1,0,0,0,1
41,279.2956056529496,329.5903517662402,34,1,0,0,0,1
42,101.05224064001106,560.9707103077326,29,1,0,0,0,0
43,153.93251178242267,892.3975355450731,44,1,0,0,0,0
44,127.05016484221983,573.2053665944883,20,1,0,0,0,0
45,186.01477273976298,712.2338163981411,49,1,0,0,0,0
46,69.0604858580736,361.9001917628828,43,1,0,0,0,0
47,280.1737790515376,444.6635471707397,44,1,0,0,0,0
48,62.62024496199642,946.7943224193149,48,1,0,0,0,0
49,83.29705117788097,712.3630658709967,52,1,0,0,0,1
50,341.92810425574817,631.8335333208413,35,1,0,0,0,0
51,360.8938737180555,530.020500448672,40,1,0,0,0,0
52,232.4551585335873,858.5197916952347,38,1,0,0,0,1
53,98.49716268882774,573.4574966581446,57,1,0,0,0,0
54,320.36290827192477,669.7218418845905,26,1,0,0,0,1
55,105.45634808286741,529.4987239050753,49,1,0,0,0,1
56,414.74166538568096,602.0223062524019,35,1,0,0,0,0
57,263.9692416875892,885.2058349426413,38,1,0,0,0,1
58,624.7615181481939,444.25471675154824,50,1,0,0,0,0
59,278.78286352848073,510.7500470529262,42,1,0,0,0,1
60,208.30976183348602,829.8441936641198,34,1,0,0,0,1
61,53.77644276923323,878.3635814268754,24,1,0,0,0,0
62,186.67960571565447,776.8192661329574,50,1,0,0,0,1
63,219.57524368510292,852.0323903337721,44,1,0,0,0,0
64,256.4674416918782,383.7553743145017,46,1,0,0,0,0
65,159.3211629459435,866.2354261285836,39,1,0,0,0,1
66,392.4934150587302,430.4097121507158,41,1,0,0,0,1
67,133.20536853367003,661.0522846026072,37,1,0,0,0,1
68,211.0472285690415,698.7464382462538,42,1,0,0,0,1
69,271.4714709324921,467.44663939577526,42,1,0,0,0,1
70,128.09686997605945,841.7596976466243,31,1,0,0,0,1
71,229.5845765096426,827.1014038803517,40,1,0,0,0,0
72,81.37994723259582,282.8421824341302,52,1,0,0,0,0
73,340.4140346762442,905.2350617062407,43,1,0,0,0,1
74,359.0577664250612,861.0295149680767,45,1,0,0,0,1
75,185.8748772270044,373.9817717788554,35,1,0,0,0,0
76,131.9591072581299,702.8757786728137,32,1,0,0,0,1
77,215.7218944249954,629.7403267501561,38,1,0,0,0,0
78,219.12271351468524,791.8053752681368,23,1,0,0,0,1
79,352.54947829750984,938.709003765546,32,1,0,0,0,1
80,127.34002874967499,630.234346482323,55,1,0,0,0,0
81,73.39236981584313,586.5164982862045,41,1,0,0,0,1
82,57.66055333551135,437.6205002084857,34,1,0,0,0,1
83,215.43282902862356,955.2973986796696,33,1,0,0,0,0
84,432.6270169814317,1097.2420745537827,28,1,0,0,0,0
85,279.0829773579674,442.75683342214853,39,1,0,0,0,0
86,142.7403846789535,767.2488885649061,28,1,0,0,0,1
87,125.45778237439814,884.1828644263855,37,1,0,0,0,1
88,332.93804088317825,592.2344895053005,30,1,0,0,0,1
89,112.2768486611695,625.5925069815586,41,1,0,0,0,0
90,143.16552189123104,627.3103277335418,41,1,0,0,0,0
91,428.09571664694033,929.5453307281549,47,1,0,0,0,0
92,309.7513790949113,427.9267575764,29,1,0,0,0,1
93,271.68290378096003,722.0303117064395,28,1,0,0,0,1
94,422.599174396081,639.6090748268954,20,1,0,0,0,1
95,238.95981524036085,516.4180439591028,41,1,0,0,0,1
96,74.56672967264922,773.6124426859936,27,1,0,0,0,1
97,359.8258363307417,788.7664700551741,22,1,0,0,0,1
98,232.16074221284654,706.3745388307459,34,1,0,0,0,0
99,201.89749790415476,598.0843822233338,47,1,0,0,0,0
100,59.073563592941944,747.7915909859322,34,1,0,0,0,1
101,66.15217538200449,896.7593138053912,42,1,0,0,0,1
102,78.67804799408145,380.2263816725844,45,1,0,0,0,1
103,143.77558080631155,599.9269269090329,39,1,0,0,0,0
104,199.41611948562038,775.3588129020642,66,1,0,0,0,0
105,340.82229583914915,493.0153962308153,26,1,0,0,0,0
106,192.48620520195658,680.5965170176911,34,1,0,0,0,1
107,50.389489420987736,1000.565771851308,18,1,0,0,0,1
108,416.97233309359575,689.9940168194096,51,1,0,0,0,0
109,51.32181044491725,791.5132732651376,30,1,0,0,0,1
110,132.6645718371806,905.9451120569255,42,1,0,0,0,0
111,156.99654521716658,449.34466199697346,53,1,0,0,0,1
112,157.05203275670326,788.7116773945497,33,1,0,0,0,1
113,206.08413738835412,724.5451822801134,24,1,0,0,0,1
114,636.5259622567812,1017.146379911718,46,1,0,0,0,1
115,318.7503110613858,994.8999460162536,31,1,0,0,0,1
116,79.31623171706423,910.2541116803252,28,1,0,0,0,1
117,133.35450655416318,760.2000796803437,50,1,0,0,0,0
118,189.53868960707806,1042.7180998272388,45,1,0,0,0,0
119,226.60462214156294,1195.26772709974,21,1,0,0,0,1
120,151.59585951265763,1345.2625926779751,23,1,0,0,0,0
121,261.56555198242484,829.6628301962633,42,1,0,0,0,1
122,225.7423773596309,1061.8523955857981,49,1,0,0,0,0
123,308.1624309101196,644.3530329791317,28,1,0,0,0,1
124,84.2474753900388,618.6570973386343,24,1,0,0,0,1
125,127.20557680977622,498.3801146369628,59,1,0,0,0,0
126,135.31158262857917,1121.0033880429605,45,1,0,0,0,0
127,259.55981508484143,902.686401666293,46,1,0,0,0,0
128,93.14396982035166,570.4154826658583,22,1,0,0,0,1
129,253.89285147107725,689.7800600039312,36,1,0,0,0,0
130,230.74712859450835,486.7304478434853,41,1,0,0,0,0
131,202.79001315913553,797.696463229963,20,1,0,0,0,1
132,236.69771463482735,993.278936638975,26,1,0,0,0,1
133,76.14765642375909,915.607929174484,55,1,0,0,0,0
134,222.78743517018177,743.6460142703568,45,1,0,0,0,1
135,203.19824067605833,493.40874918693123,55,1,0,0,0,0
136,133.05441487950762,667.4933513956599,44,1,0,0,0,0
137,125.44718800286334,744.7742979461365,34,1,0,0,0,0
138,200.62602099357804,478.54830888492904,55,1,0,0,0,0
139,128.52697179800504,1126.502864767685,50,1,0,0,0,1
140,348.2959057141455,556.9648439630164,30,1,0,0,0,1
141,167.0734425544382,1049.2350450207746,44,1,0,0,0,0
142,222.91491866231468,955.2703109728255,36,1,0,0,0,1
143,280.4142535384034,885.8720454250766,45,1,0,0,0,0
144,270.4626160298916,323.00379357402255,51,1,0,0,0,1
145,92.48002925937246,803.5216504468242,38,1,0,0,0,1
146,112.49570866362689,943.8110795288976,23,1,0,0,0,0
147,78.34929951297123,668.6446422697843,48,1,0,0,0,0
148,584.0785276092115,1038.3156331676926,38,1,0,0,0,0
149,230.03261359536125,358.67900723526185,33,1,0,0,0,1
150,168.33300224982793,743.5495624096977,33,1,0,0,0,0
151,66.39617579833435,423.1410850242377,37,1,0,0,0,1
152,81.14702938964454,588.5587485610484,30,1,0,0,0,0
153,113.81530578374596,748.4838033277937,50,1,0,0,0,0
154,62.42973340821034,736.8963533530144,30,1,0,0,0,1
155,393.6783732009364,917.1927528937453,31,1,0,0,0,1
156,303.9848779342432,748.0450795140449,52,1,0,0,0,0
157,320.51192366063054,650.3777457845246,26,1,0,0,0,0
158,306.95909412893974,947.4699369996106,46,1,0,0,0,0
159,94.15428183260246,791.1654402525894,21,1,0,0,0,0
160,339.2337911454665,671.3251474410156,53,1,0,0,0,0
161,102.05166968493678,633.7488894169762,34,1,0,0,0,0
162,63.05849325077463,510.32773119315084,28,1,0,0,0,1
163,257.7200274496563,941.3969324362563,29,1,0,0,0,0
164,221.47374719069052,590.7407701343146,30,1,0,0,0,1
165,140.09870252423377,603.2390542468245,22,1,0,0,0,0
166,232.2802045812674,221.68044956287446,45,1,0,0,0,0
167,463.06384987411377,1052.2531811697265,34,1,0,0,0,0
168,241.7480056213189,555.4397629142011,26,1,0,0,0,0
169,224.5549824569918,355.02284863732035,55,1,0,0,0,1
170,81.37765920842062,389.7439077797255,43,1,0,0,0,0
171,182.13003764531197,930.2160010352878,33,1,0,0,0,1
172,499.8820950631078,646.447255081816,55,1,0,0,0,0
173,132.75874180459633,499.71201741078,22,1,0,0,0,0
174,208.6233798365344,599.6645432551959,38,1,0,0,0,0
175,123.36110303799319,810.4636413864137,42,1,0,0,0,0
176,191.25410351307966,741.1380917719791,37,1,0,0,0,1
177,62.98759040392419,642.6207711241175,41,1,0,0,0,0
178,69.01487535671697,868.5037760395023,45,1,0,0,0,0
179,148.0814144412113,520.3114425353978,45,1,0,0,0,0
180,542.132484525047,748.365927678258,59,1,0,0,0,1
181,247.23614276185398,268.0699331837766,40,1,0,0,0,0
182,239.5824044673185,1033.9819245682845,44,1,0,0,0,0
183,50.412966319558464,697.3215219313162,49,1,0,0,0,1
184,422.1942767316848,680.762174966756,23,1,0,0,0,1
185,167.03855705768188,740.540334553765,21,1,0,0,0,1
186,91.55803741417841,334.37428046184647,36,1,0,0,0,0
187,109.21063308320612,537.3446234020046,32,1,0,0,0,1
188,95.50081364607614,824.358016920889,27,1,0,0,0,1
189,113.58758268910918,941.2262939065977,42,1,0,0,0,1
